,JobName,JobID,Path,MemRSS,CPUTime,Resources,TrainAcc,TrainLeafAcc,TrainLeafAccSoft,TestAcc,TestLeafAcc,TestLeafAccSoft,ReducedTrainAcc,ReducedTrainLeafAcc,ReducedTrainLeafAccSoft,ReducedTestAcc,ReducedTestLeafAcc,ReducedTestLeafAccSoft,ExtendedTrainAcc,ExtendedTestAcc,SoftConstraint,EmptyLeaves,MisassignedPoints,ObjGap,ObjBound,Status,RemovedLeaves,DataType,DatasetName,Seed,ModelType,ModelDef
0,Dh_0_c_albert,5797422,benchmark/direct/d4_r4_8h_50lim_hard_concated/categorical/albert/run0.out,63.395782470703125,230776,"cpu=8,mem=128G,node=1",0.6038,0.5981832238113645,0.5981832238113645,0.5958286842331131,0.5901938048699685,0.5901938048699685,0.6038,0.5981832238113645,0.5981832238113645,0.595657025148056,0.5901938048699685,0.5901938048699685,0.6755,0.6453523302720796,,13,0.0,0.6717285945070779,1.0,TIME,13,categorical,albert,0,direct,d4_r4_8h_50lim_hard_concated
1,Dh_0_c_compas-two-years,5797423,benchmark/direct/d4_r4_8h_50lim_hard_concated/categorical/compas-two-years/run0.out,21.835121154785156,230624,"cpu=8,mem=64G,node=1",0.6540785498489426,0.6392857142857142,0.6392857142857142,0.6619718309859155,0.6412213740458015,0.6412213740458015,0.6540785498489426,0.6392857142857142,0.6392857142857142,0.6619718309859155,0.6412213740458015,0.6412213740458015,0.6842900302114804,0.6971830985915493,,13,0.0,0.5642458090161176,1.0,TIME,13,categorical,compas-two-years,0,direct,d4_r4_8h_50lim_hard_concated
2,Dh_0_c_covertype,5797424,benchmark/direct/d4_r4_8h_50lim_hard_concated/categorical/covertype/run0.out,63.790016174316406,230856,"cpu=8,mem=128G,node=1",0.5371,0.5325670498084292,0.5325670498084292,0.5310611782477341,0.4611872146118721,0.4611872146118721,0.5371,0.5325670498084292,0.5325670498084292,0.5310611782477341,0.4611872146118721,0.4611872146118721,0.9946,0.8338604607250756,,10,0.0,0.8776978418088465,1.0,TIME,10,categorical,covertype,0,direct,d4_r4_8h_50lim_hard_concated
3,Dh_0_c_default-of-credit-card-clients,5797425,benchmark/direct/d4_r4_8h_50lim_hard_concated/categorical/default-of-credit-card-clients/run0.out,60.79829025268555,230720,"cpu=8,mem=128G,node=1",0.6402,0.5947548761201897,0.5947548761201897,0.6214689265536724,0.569060773480663,0.569060773480663,0.6402,0.5947548761201897,0.5947548761201897,0.6214689265536724,0.569060773480663,0.569060773480663,0.7279,0.7190207156308851,,13,0.0,0.6813649457123593,1.0,TIME,13,categorical,default-of-credit-card-clients,0,direct,d4_r4_8h_50lim_hard_concated
4,Dh_0_c_electricity,5797426,benchmark/direct/d4_r4_8h_50lim_hard_concated/categorical/electricity/run0.out,55.37302017211914,230704,"cpu=8,mem=64G,node=1",0.703,0.69898753894081,0.69898753894081,0.7009746588693957,0.6959761549925484,0.6959761549925484,0.703,0.69898753894081,0.69898753894081,0.7009746588693957,0.6959761549925484,0.6959761549925484,0.9895,0.8851202079272255,,14,0.0,0.42866282426468555,1.0,TIME,14,categorical,electricity,0,direct,d4_r4_8h_50lim_hard_concated
5,Dh_0_c_eye_movements,5797427,benchmark/direct/d4_r4_8h_50lim_hard_concated/categorical/eye_movements/run0.out,31.037025451660156,230624,"cpu=8,mem=64G,node=1",0.5157739073282944,0.5107569721115538,0.5107569721115538,0.5433639947437582,0.5431309904153354,0.5431309904153354,0.5157739073282944,0.5107569721115538,0.5107569721115538,0.5433639947437582,0.5431309904153354,0.5431309904153354,0.8642786723627999,0.6123521681997371,,14,0.0,0.9087171052631788,1.0,TIME,14,categorical,eye_movements,0,direct,d4_r4_8h_50lim_hard_concated
6,Dh_0_c_road-safety,5797428,benchmark/direct/d4_r4_8h_50lim_hard_concated/categorical/road-safety/run0.out,67.53038024902344,230784,"cpu=8,mem=128G,node=1",0.5668,0.5415804212833313,0.5415804212833313,0.568066926139668,0.25,0.5423598949211909,0.5668,0.5415804212833313,0.5415804212833313,0.568066926139668,0.5423598949211909,0.5423598949211909,0.8264,0.758511161812732,,13,0.0,0.846447841726593,1.0,TIME,13,categorical,road-safety,0,direct,d4_r4_8h_50lim_hard_concated
7,Dh_0_n_bank-marketing,5797429,benchmark/direct/d4_r4_8h_50lim_hard_concated/numerical/bank-marketing/run0.out,37.13176345825195,230640,"cpu=8,mem=64G,node=1",0.5660600330891042,0.5622941822173436,0.5622941822173436,0.5515122873345936,0.5358764759309719,0.5358764759309719,0.5660600330891042,0.5622941822173436,0.5622941822173436,0.5510396975425331,0.5358764759309719,0.5358764759309719,0.841999527298511,0.7996219281663516,,13,0.0,0.766944066256109,1.0,TIME,13,numerical,bank-marketing,0,direct,d4_r4_8h_50lim_hard_concated
8,Dh_0_n_Bioresponse,5797430,benchmark/direct/d4_r4_8h_50lim_hard_concated/numerical/Bioresponse/run0.out,62.04303741455078,230800,"cpu=8,mem=128G,node=1",0.5726246814706953,0.5556242274412856,0.5556242274412856,0.5312954876273653,0.5238095238095238,0.5238095238095238,0.5726246814706953,0.5556242274412856,0.5556242274412856,0.5312954876273653,0.5238095238095238,0.5238095238095238,0.9126319621405169,0.7554585152838428,,12,0.0,0.7997393540874549,1.0,TIME,12,numerical,Bioresponse,0,direct,d4_r4_8h_50lim_hard_concated
9,Dh_0_n_california,5797431,benchmark/direct/d4_r4_8h_50lim_hard_concated/numerical/california/run0.out,50.56295394897461,230824,"cpu=8,mem=64G,node=1",0.5377,0.5188841694409367,0.5188841694409367,0.5502786527744125,0.531578947368421,0.531578947368421,0.5377,0.5188841694409367,0.5188841694409367,0.5502786527744125,0.531578947368421,0.531578947368421,0.9863,0.8999273079718925,,14,0.0,0.9159577836201056,1.0,TIME,14,numerical,california,0,direct,d4_r4_8h_50lim_hard_concated
