,JobName,JobID,Path,MemRSS,CPUTime,Resources,TrainAcc,TrainLeafAcc,TrainLeafAccSoft,TestAcc,TestLeafAcc,TestLeafAccSoft,ReducedTrainAcc,ReducedTrainLeafAcc,ReducedTrainLeafAccSoft,ReducedTestAcc,ReducedTestLeafAcc,ReducedTestLeafAccSoft,ExtendedTrainAcc,ExtendedTestAcc,SoftConstraint,EmptyLeaves,MisassignedPoints,ObjGap,ObjBound,Status,RemovedLeaves,DataType,DatasetName,Seed,ModelType,ModelDef
0,halving_0_c_albert,5811388,benchmark/halving/d4_r4_8h_50lim_hard/categorical/albert/run0.out,15.548980712890625,233960,"cpu=8,mem=128G,node=1",0.5348,0.5144418423106948,0.5144418423106948,0.5254484593597116,0.4,0.4,0.5348,0.5192938209331652,0.5192938209331652,0.5254484593597116,0.40625,0.40625,0.6881,0.6493004892283925,,10,0.0,1.0,0.0,TIME,11,categorical,albert,0,halving,d4_r4_8h_50lim_hard
1,halving_0_c_compas-two-years,5811389,benchmark/halving/d4_r4_8h_50lim_hard/categorical/compas-two-years/run0.out,10.318824768066406,230976,"cpu=8,mem=64G,node=1",0.6299093655589124,0.6232239098481137,0.6232239098481137,0.6488933601609658,0.6403326403326404,0.6403326403326404,0.6299093655589124,0.6232239098481137,0.6232239098481137,0.6488933601609658,0.6403326403326404,0.6403326403326404,0.6807653575025177,0.6911468812877264,,14,0.0,1.0,0.0,TIME,14,categorical,compas-two-years,0,halving,d4_r4_8h_50lim_hard
2,halving_0_c_covertype,5811390,benchmark/halving/d4_r4_8h_50lim_hard/categorical/covertype/run0.out,14.80270004272461,233360,"cpu=8,mem=128G,node=1",0.7442,0.7379583746283449,0.7379583746283449,0.7425179380664653,0.7342612419700214,0.7342612419700214,0.7442,0.7423099245502032,0.7423099245502032,0.7425179380664653,0.7384094440707841,0.7384094440707841,0.9999,0.852978663141994,,12,0.0,1.0,0.0,TIME,14,categorical,covertype,0,halving,d4_r4_8h_50lim_hard
3,halving_0_c_default-of-credit-card-clients,5811391,benchmark/halving/d4_r4_8h_50lim_hard/categorical/default-of-credit-card-clients/run0.out,11.017528533935547,232432,"cpu=8,mem=128G,node=1",0.563,0.5530736240171551,0.5530736240171551,0.5551789077212806,0.5414225941422595,0.5414225941422595,0.563,0.5530736240171551,0.5530736240171551,0.5551789077212806,0.5414225941422595,0.5414225941422595,0.7335,0.7099811676082862,,14,0.0,1.0,0.0,TIME,14,categorical,default-of-credit-card-clients,0,halving,d4_r4_8h_50lim_hard
4,halving_0_c_electricity,5811392,benchmark/halving/d4_r4_8h_50lim_hard/categorical/electricity/run0.out,14.133625030517578,231584,"cpu=8,mem=64G,node=1",0.6674,0.5787234042553191,0.5787234042553191,0.6738141650422352,0.4489795918367347,0.4489795918367347,0.6674,0.6012269938650306,0.6012269938650306,0.6738141650422352,0.4489795918367347,0.4489795918367347,0.9779,0.8696556205328135,,0,0.0,1.0,0.0,TIME,6,categorical,electricity,0,halving,d4_r4_8h_50lim_hard
5,halving_0_c_eye_movements,5811393,benchmark/halving/d4_r4_8h_50lim_hard/categorical/eye_movements/run0.out,13.93918228149414,231464,"cpu=8,mem=64G,node=1",0.5465001643115347,0.5401205201395496,0.5401205201395496,0.5532194480946123,0.5463483146067416,0.5463483146067416,0.5465001643115347,0.5401205201395496,0.5401205201395496,0.5532194480946123,0.5463483146067416,0.5463483146067416,0.9051922444955636,0.6340341655716163,,13,0.0,1.0,0.0,TIME,13,categorical,eye_movements,0,halving,d4_r4_8h_50lim_hard
6,halving_0_c_road-safety,5811394,benchmark/halving/d4_r4_8h_50lim_hard/categorical/road-safety/run0.out,12.081550598144531,232632,"cpu=8,mem=128G,node=1",0.5268,0.5115257958287596,0.5115257958287596,0.5216749429606764,0.5032840722495895,0.5032840722495895,0.5268,0.5115257958287596,0.5115257958287596,0.5216749429606764,0.5032840722495895,0.5032840722495895,0.8796,0.7472822439940947,,10,0.0,1.0,0.0,TIME,10,categorical,road-safety,0,halving,d4_r4_8h_50lim_hard
7,halving_0_n_bank-marketing,5811395,benchmark/halving/d4_r4_8h_50lim_hard/numerical/bank-marketing/run0.out,8.962379455566406,231384,"cpu=8,mem=64G,node=1",0.7387142519498936,0.7180251117258991,0.7180251117258991,0.7400756143667296,0.7091703056768559,0.7091703056768559,0.7387142519498936,0.7180251117258991,0.7180251117258991,0.7400756143667296,0.7091703056768559,0.7091703056768559,0.8254549751831718,0.8015122873345936,,8,0.0,1.0,0.0,TIME,12,numerical,bank-marketing,0,halving,d4_r4_8h_50lim_hard
8,halving_0_n_Bioresponse,5811396,benchmark/halving/d4_r4_8h_50lim_hard/numerical/Bioresponse/run0.out,47.503395080566406,233272,"cpu=8,mem=128G,node=1",0.5908263560247543,0.5644235785080856,0.5644235785080856,0.5793304221251819,0.559748427672956,0.559748427672956,0.5908263560247543,0.5644235785080856,0.5644235785080856,0.5793304221251819,0.559748427672956,0.559748427672956,0.9723334546778304,0.7729257641921398,,12,0.0,1.0,0.0,TIME,12,numerical,Bioresponse,0,halving,d4_r4_8h_50lim_hard
9,halving_0_n_california,5811397,benchmark/halving/d4_r4_8h_50lim_hard/numerical/california/run0.out,12.967613220214844,231600,"cpu=8,mem=64G,node=1",0.6821,0.6005380911922968,0.6005380911922968,0.6687666585897747,0.5832757429163787,0.5832757429163787,0.6821,0.6005380911922968,0.6005380911922968,0.6687666585897747,0.5832757429163787,0.5832757429163787,0.9825,0.8975042403683062,,12,0.0,1.0,0.0,TIME,12,numerical,california,0,halving,d4_r4_8h_50lim_hard
