,JobName,JobID,Path,MemRSS,CPUTime,Resources,TrainAcc,TrainLeafAcc,TrainLeafAccSoft,TestAcc,TestLeafAcc,TestLeafAccSoft,ReducedTrainAcc,ReducedTrainLeafAcc,ReducedTrainLeafAccSoft,ReducedTestAcc,ReducedTestLeafAcc,ReducedTestLeafAccSoft,ExtendedTrainAcc,ExtendedTestAcc,SoftConstraint,EmptyLeaves,MisassignedPoints,ObjGap,ObjBound,Status,RemovedLeaves,StartTrainAcc,StartTrainLeafAcc,StartTrainLeafAccSoft,StartTestAcc,StartTestLeafAcc,StartTestLeafAccSoft,StartReducedTrainAcc,StartReducedTrainLeafAcc,StartReducedTrainLeafAccSoft,StartReducedTestAcc,StartReducedTestLeafAcc,StartReducedTestLeafAccSoft,DataType,DatasetName,Seed,ModelType,ModelDef
0,Whh_0_c_albert,5797192,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_concated/categorical/albert/run0.out,67.12590408325195,230752,"cpu=8,mem=128G,node=1",0.6471,0.5622895622895623,0.5622895622895623,0.6364260578491117,0.5342465753424658,0.5342465753424658,0.6471,0.5622895622895623,0.5622895622895623,0.6364260578491117,0.5342465753424658,0.5342465753424658,0.6701,0.6376276714445112,,0,0.0,0.7784431137724113,1.0,TIME,8,0.6521,0.5497630331753555,0.5497630331753555,0.6371985237318685,0.5289855072463768,0.5289855072463768,0.6521,0.5497630331753555,0.5497630331753555,0.6371985237318685,0.5289855072463768,0.5289855072463768,categorical,albert,0,warmstart,d4_r4_8h_50lim_hint_hard_concated
1,Whh_0_c_compas-two-years,5797193,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_concated/categorical/compas-two-years/run0.out,22.55904769897461,230552,"cpu=8,mem=64G,node=1",0.6601208459214502,0.65,0.65,0.6750503018108652,0.6181818181818182,0.6181818181818182,0.6601208459214502,0.65,0.65,0.6750503018108652,0.6181818181818182,0.6181818181818182,0.6837865055387714,0.7052313883299799,,10,0.0,0.5384433820574396,1.0,TIME,10,0.6764853977844915,0.52,0.52,0.6851106639839034,0.45,0.44999999999999996,0.6764853977844915,0.52,0.52,0.6851106639839034,0.45,0.44999999999999996,categorical,compas-two-years,0,warmstart,d4_r4_8h_50lim_hint_hard_concated
2,Whh_0_c_covertype,5797194,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_concated/categorical/covertype/run0.out,57.62285614013672,230856,"cpu=8,mem=128G,node=1",0.7289,0.6881974974636456,0.6881974974636456,0.7303625377643505,0.6889305523006015,0.6889305523006015,0.7289,0.6881974974636456,0.6881974974636456,0.7303507364048338,0.6942917463352454,0.6942917463352454,1.0,0.8585961102719033,,11,0.0,0.41814595660750287,1.0,TIME,14,0.77,0.5693848354792561,0.5693848354792561,0.7615889350453172,0.5532348446255732,0.5532348446255732,0.77,0.5693848354792561,0.5693848354792561,0.7615889350453172,0.5532348446255732,0.5532348446255732,categorical,covertype,0,warmstart,d4_r4_8h_50lim_hint_hard_concated
3,Whh_0_c_default-of-credit-card-clients,5797195,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_concated/categorical/default-of-credit-card-clients/run0.out,54.670738220214844,230744,"cpu=8,mem=128G,node=1",0.5575,0.556820577693443,0.556820577693443,0.5495291902071563,0.5296191819464033,0.5296191819464033,0.5575,0.556820577693443,0.556820577693443,0.5495291902071563,0.5296191819464033,0.5296191819464033,0.7312,0.7141242937853107,,14,0.0,0.791751874573951,1.0,TIME,14,0.7073,0.5132530120481927,0.5132530120481927,0.7073446327683616,0.5202020202020202,0.5202020202020202,0.7073,0.5132530120481927,0.5132530120481927,0.7073446327683616,0.5202020202020202,0.5202020202020202,categorical,default-of-credit-card-clients,0,warmstart,d4_r4_8h_50lim_hint_hard_concated
4,Whh_0_c_electricity,5797196,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_concated/categorical/electricity/run0.out,55.069969177246094,230688,"cpu=8,mem=64G,node=1",0.7446,0.6008485639686684,0.6008485639686684,0.7399610136452242,0.5249537892791127,0.5249537892791127,0.7446,0.6025280898876404,0.6025280898876404,0.7399610136452242,0.5249537892791127,0.5249537892791127,0.9906,0.8743339831059129,,7,0.0,0.6643117820624388,1.0,TIME,11,0.7435,0.5142767492940069,0.5142767492940069,0.7324236517218974,0.4905193734542457,0.4905193734542457,0.7435,0.5142767492940069,0.5142767492940069,0.7324236517218974,0.4905193734542457,0.4905193734542457,categorical,electricity,0,warmstart,d4_r4_8h_50lim_hint_hard_concated
5,Whh_0_c_eye_movements,5797197,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_concated/categorical/eye_movements/run0.out,36.753047943115234,230616,"cpu=8,mem=64G,node=1",0.5928360170883996,0.562984496124031,0.562984496124031,0.5768725361366623,0.3333333333333333,0.4230769230769231,0.5928360170883996,0.562984496124031,0.562984496124031,0.5775295663600526,0.4230769230769231,0.4230769230769231,0.9600722970752547,0.6471747700394218,,4,0.0,0.7762075239179353,1.0,TIME,8,0.5990798554058495,0.5017221584385764,0.5017221584385764,0.5801576872536137,0.4230769230769231,0.4230769230769231,0.5990798554058495,0.5490314769975787,0.5490314769975787,0.5801576872536137,0.4230769230769231,0.4230769230769231,categorical,eye_movements,0,warmstart,d4_r4_8h_50lim_hint_hard_concated
6,Whh_0_c_road-safety,5797198,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_concated/categorical/road-safety/run0.out,68.74494552612305,230808,"cpu=8,mem=128G,node=1",0.6197,0.6014933148115993,0.6014933148115993,0.6149510132868071,0.5958397534668721,0.5958397534668721,0.6197,0.602088948787062,0.602088948787062,0.6149062765624301,0.5973003374578177,0.5973003374578177,0.8181,0.7598532635440433,,13,0.0,0.6625192212578724,1.0,TIME,14,0.7161,0.5338208409506399,0.5338208409506399,0.7100612893123965,0.4895498392282958,0.4895498392282958,0.7161,0.5338208409506399,0.5338208409506399,0.7100612893123965,0.4895498392282958,0.4895498392282958,categorical,road-safety,0,warmstart,d4_r4_8h_50lim_hint_hard_concated
7,Whh_0_n_bank-marketing,5797199,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_concated/numerical/bank-marketing/run0.out,41.1392822265625,230848,"cpu=8,mem=64G,node=1",0.7773575986764358,0.66,0.66,0.7712665406427222,0.5714285714285714,0.6269035532994924,0.7773575986764358,0.66,0.66,0.7712665406427222,0.5714285714285714,0.6269035532994924,0.8428267549042779,0.7972589792060492,,3,0.0,0.5151500979385232,1.0,TIME,7,0.7792484046324746,0.5465116279069767,0.5465116279069767,0.7731568998109641,0.4,0.4,0.7792484046324746,0.5465116279069767,0.5465116279069767,0.7731568998109641,0.4,0.4,numerical,bank-marketing,0,warmstart,d4_r4_8h_50lim_hint_hard_concated
8,Whh_0_n_Bioresponse,5797200,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_concated/numerical/Bioresponse/run0.out,65.43471908569336,230824,"cpu=8,mem=128G,node=1",0.7153258099745177,0.6649122807017543,0.6649122807017543,0.6899563318777293,0.42857142857142855,0.52,0.7153258099745177,0.6649122807017543,0.6649122807017543,0.6899563318777293,0.42857142857142855,0.52,0.9242810338551146,0.7700145560407569,,8,0.0,0.5032978270987999,1.0,TIME,9,0.7251547142337095,0.5411764705882353,0.5411764705882353,0.7147016011644832,0.5217391304347826,0.5217391304347826,0.7251547142337095,0.6460784313725491,0.6460784313725491,0.7147016011644832,0.6568265682656826,0.6568265682656826,numerical,Bioresponse,0,warmstart,d4_r4_8h_50lim_hint_hard_concated
9,Whh_0_n_california,5797201,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_concated/numerical/california/run0.out,51.43025207519531,230824,"cpu=8,mem=64G,node=1",0.742,0.7323042168674698,0.7323042168674698,0.7412163799370003,0.7241379310344828,0.7241379310344828,0.742,0.7323042168674698,0.7323042168674698,0.7412163799370003,0.7241379310344828,0.7241379310344828,0.9661,0.8945965592440029,,10,0.0,0.365552699228943,1.0,TIME,12,0.7963,0.5778175313059034,0.5778175313059034,0.7940392536951781,0.583941605839416,0.583941605839416,0.7963,0.5966514459665144,0.5966514459665144,0.7940392536951781,0.583941605839416,0.583941605839416,numerical,california,0,warmstart,d4_r4_8h_50lim_hint_hard_concated
