,JobName,JobID,Path,MemRSS,CPUTime,Resources,TrainAcc,TrainLeafAcc,TrainLeafAccSoft,TestAcc,TestLeafAcc,TestLeafAccSoft,ReducedTrainAcc,ReducedTrainLeafAcc,ReducedTrainLeafAccSoft,ReducedTestAcc,ReducedTestLeafAcc,ReducedTestLeafAccSoft,ExtendedTrainAcc,ExtendedTestAcc,SoftConstraint,EmptyLeaves,MisassignedPoints,ObjGap,ObjBound,Status,RemovedLeaves,StartTrainAcc,StartTrainLeafAcc,StartTrainLeafAccSoft,StartTestAcc,StartTestLeafAcc,StartTestLeafAccSoft,StartReducedTrainAcc,StartReducedTrainLeafAcc,StartReducedTrainLeafAccSoft,StartReducedTestAcc,StartReducedTestLeafAcc,StartReducedTestLeafAccSoft,DataType,DatasetName,Seed,ModelType,ModelDef
0,W5_0_c_albert,5982511,benchmark/warmstart/d5_r4_8h_50lim_hint_hard_true_data/categorical/albert/run0.out,127.75535583496094,220880,"cpu=8,mem=192G,node=1",0.5022,0.5022,0.5022,0.5021886533344777,0.5021886533344777,0.5021886533344777,0.5022,0.5022,0.5022,0.5021886533344777,0.5021886533344777,0.5021886533344777,0.6644,0.6480988756329928,,31,0.0,0.9741889572541491,1.0,MEM,31,0.656,0.5018181818181818,0.5018181818181818,0.6323920693502704,0.35064935064935066,0.35064935064935066,0.656,0.5133333333333333,0.5133333333333333,0.6323920693502704,0.35064935064935066,0.35064935064935066,categorical,albert,0,warmstart,d5_r4_8h_50lim_hint_hard_true_data
1,W5_0_c_compas-two-years,5982512,benchmark/warmstart/d5_r4_8h_50lim_hint_hard_true_data/categorical/compas-two-years/run0.out,39.69342803955078,230688,"cpu=8,mem=96G,node=1",0.668932527693857,0.6178861788617886,0.6178861788617886,0.6750503018108652,0.5774647887323944,0.5774647887323944,0.668932527693857,0.6178861788617886,0.6178861788617886,0.6750503018108652,0.5991735537190083,0.5991735537190083,0.6883182275931521,0.6971830985915493,,25,0.0,0.617437722419948,1.0,TIME,27,0.6800100704934542,0.5093457943925234,0.5093457943925234,0.6790744466800804,0.391304347826087,0.391304347826087,0.6800100704934542,0.5093457943925234,0.5093457943925234,0.6790744466800804,0.391304347826087,0.391304347826087,categorical,compas-two-years,0,warmstart,d5_r4_8h_50lim_hint_hard_true_data
2,W5_0_c_covertype,5982513,benchmark/warmstart/d5_r4_8h_50lim_hint_hard_true_data/categorical/covertype/run0.out,74.41195678710938,231344,"cpu=8,mem=192G,node=1",0.7324,0.6872246696035242,0.6872246696035242,0.7328290219033232,0.5,0.6746079613992763,0.7324,0.6872246696035242,0.6872246696035242,0.7328290219033232,0.6746079613992763,0.6746079613992763,0.9954,0.855929003021148,,20,0.0,0.455128205128199,1.0,TIME,27,0.7777,0.525974025974026,0.525974025974026,0.7659672394259819,0.4537521815008726,0.4537521815008726,0.7777,0.525974025974026,0.525974025974026,0.7659672394259819,0.4537521815008726,0.4537521815008726,categorical,covertype,0,warmstart,d5_r4_8h_50lim_hint_hard_true_data
3,W5_0_c_default-of-credit-card-clients,5982514,benchmark/warmstart/d5_r4_8h_50lim_hint_hard_true_data/categorical/default-of-credit-card-clients/run0.out,64.63314819335938,231048,"cpu=8,mem=192G,node=1",0.6895,0.5806451612903226,0.5806451612903226,0.6911487758945386,0.45,0.44999999999999996,0.6895,0.5806451612903226,0.5806451612903226,0.6911487758945386,0.5555555555555556,0.5827027027027027,0.7381,0.7175141242937854,,22,0.0,0.7222167068701364,1.0,TIME,27,0.7123,0.5284450063211125,0.5284450063211125,0.7084745762711865,0.4166666666666667,0.4444444444444444,0.7123,0.5390625,0.5390625,0.7084745762711865,0.4444444444444444,0.4444444444444444,categorical,default-of-credit-card-clients,0,warmstart,d5_r4_8h_50lim_hint_hard_true_data
4,W5_0_c_electricity,5982515,benchmark/warmstart/d5_r4_8h_50lim_hint_hard_true_data/categorical/electricity/run0.out,56.169921875,230960,"cpu=8,mem=96G,node=1",0.7218,0.6326797385620915,0.6326797385620915,0.7230669265756985,0.627831715210356,0.627831715210356,0.7218,0.6326797385620915,0.6326797385620915,0.7230669265756985,0.627831715210356,0.627831715210356,0.9811,0.8771929824561403,,19,0.0,0.580578055950272,1.0,TIME,26,0.7636,0.512396694214876,0.512396694214876,0.7602339181286549,0.43478260869565216,0.43478260869565216,0.7636,0.5190839694656488,0.5190839694656488,0.7602339181286549,0.46956521739130436,0.46956521739130436,categorical,electricity,0,warmstart,d5_r4_8h_50lim_hint_hard_true_data
5,W5_0_c_eye_movements,5982516,benchmark/warmstart/d5_r4_8h_50lim_hint_hard_true_data/categorical/eye_movements/run0.out,81.78167724609375,230800,"cpu=8,mem=96G,node=1",0.5764048636214262,0.5447605829285218,0.5447605829285218,0.5486202365308804,0.16666666666666666,0.4722222222222222,0.5764048636214262,0.5447605829285218,0.5447605829285218,0.5486202365308804,0.16666666666666666,0.4722222222222222,0.9316464015773908,0.6484888304862023,,15,0.0,0.8292984977101943,1.0,TIME,20,0.6151823858034834,0.5311447811447811,0.5311447811447811,0.573587385019711,0.16666666666666666,0.4421768707482993,0.6151823858034834,0.5346869712351946,0.5346869712351946,0.573587385019711,0.16666666666666666,0.4421768707482993,categorical,eye_movements,0,warmstart,d5_r4_8h_50lim_hint_hard_true_data
6,W5_0_c_road-safety,5982517,benchmark/warmstart/d5_r4_8h_50lim_hint_hard_true_data/categorical/road-safety/run0.out,107.59384536743164,196336,"cpu=8,mem=192G,node=1",0.5802,0.5645611156685808,0.5645611156685808,0.5753142754887487,0.5613931085587255,0.5613931085587255,0.5802,0.5645611156685808,0.5645611156685808,0.5753142754887487,0.5613931085587255,0.5613931085587255,0.8085,0.7598980002684204,,26,0.0,0.7532463222472542,1.0,MEM,30,0.7347,0.5097087378640777,0.5097087378640777,0.7252717756005905,0.39285714285714285,0.39285714285714285,0.7347,0.5194805194805194,0.5194805194805194,0.7252717756005905,0.39285714285714285,0.39285714285714285,categorical,road-safety,0,warmstart,d5_r4_8h_50lim_hint_hard_true_data
7,W5_0_n_bank-marketing,5982518,benchmark/warmstart/d5_r4_8h_50lim_hint_hard_true_data/numerical/bank-marketing/run0.out,53.8731803894043,230864,"cpu=8,mem=96G,node=1",0.6753722524225951,0.6131409753802729,0.6131409753802729,0.6871455576559546,0.5384615384615384,0.6318407960199005,0.6753722524225951,0.6131409753802729,0.6131409753802729,0.6871455576559546,0.5384615384615384,0.6318407960199005,0.8261640274166864,0.8010396975425331,,20,0.0,0.630946291560099,1.0,TIME,28,0.7819664381942804,0.5094339622641509,0.5094339622641509,0.7670132325141777,0.2,0.4,0.7819664381942804,0.5094339622641509,0.5094339622641509,0.7670132325141777,0.2,0.4,numerical,bank-marketing,0,warmstart,d5_r4_8h_50lim_hint_hard_true_data
8,W5_0_n_Bioresponse,5982519,benchmark/warmstart/d5_r4_8h_50lim_hint_hard_true_data/numerical/Bioresponse/run0.out,116.86892318725586,39976,"cpu=8,mem=192G,node=1",0.7360757189661449,0.6578947368421053,0.6578947368421053,0.7088791848617176,0.42857142857142855,0.5238095238095238,0.7360757189661449,0.66,0.66,0.7088791848617176,0.42857142857142855,0.5238095238095238,0.92901346923917,0.75254730713246,,20,0.0,0.5199999999999968,1.0,MEM,23,0.7411721878412814,0.54,0.54,0.7088791848617176,0.3333333333333333,0.3333333333333333,0.7411721878412814,0.6025641025641025,0.6025641025641025,0.7088791848617176,0.3333333333333333,0.3333333333333333,numerical,Bioresponse,0,warmstart,d5_r4_8h_50lim_hint_hard_true_data
9,W5_0_n_california,5982520,benchmark/warmstart/d5_r4_8h_50lim_hint_hard_true_data/numerical/california/run0.out,89.31071853637695,231016,"cpu=8,mem=96G,node=1",0.7324,0.6934116112198304,0.6934116112198304,0.7291010419190695,0.6827340971947846,0.6827340971947846,0.7324,0.6934116112198304,0.6934116112198304,0.7291010419190695,0.6827340971947846,0.6827340971947846,0.9726,0.8953234795250787,,22,0.0,0.44209239438756237,1.0,TIME,29,0.8032,0.5163934426229508,0.5163934426229508,0.7984007753816331,0.39285714285714285,0.39285714285714285,0.8032,0.6086956521739131,0.6086956521739131,0.7984007753816331,0.6,0.6,numerical,california,0,warmstart,d5_r4_8h_50lim_hint_hard_true_data
