,JobName,JobID,Path,MemRSS,CPUTime,Resources,TrainAcc,TrainLeafAcc,TrainLeafAccSoft,TestAcc,TestLeafAcc,TestLeafAccSoft,ReducedTrainAcc,ReducedTrainLeafAcc,ReducedTrainLeafAccSoft,ReducedTestAcc,ReducedTestLeafAcc,ReducedTestLeafAccSoft,ExtendedTrainAcc,ExtendedTestAcc,SoftConstraint,EmptyLeaves,MisassignedPoints,ObjGap,ObjBound,Status,RemovedLeaves,StartTrainAcc,StartTrainLeafAcc,StartTrainLeafAccSoft,StartTestAcc,StartTestLeafAcc,StartTestLeafAccSoft,StartReducedTrainAcc,StartReducedTrainLeafAcc,StartReducedTrainLeafAccSoft,StartReducedTestAcc,StartReducedTestLeafAcc,StartReducedTestLeafAccSoft,DataType,DatasetName,Seed,ModelType,ModelDef
0,W0_0_c_albert,5848340,benchmark/warmstart/d4_r4_8h_nolim_hint_hard_true_data/categorical/albert/run0.out,56.323665618896484,230744,"cpu=8,mem=128G,node=1",0.6278,0.6034702324100605,0.6034702324100605,0.6195176379709896,0.596070460704607,0.596070460704607,0.6278,0.6034702324100605,0.6034702324100605,0.6195176379709896,0.596070460704607,0.596070460704607,0.6912,0.6486996824306926,,11,0.0,0.656906413428595,1.0,TIME,14,0.6526,0.5497630331753555,0.5497630331753555,0.6374560123594541,0.5289855072463768,0.5289855072463768,0.6526,0.5497630331753555,0.5497630331753555,0.6374560123594541,0.5289855072463768,0.5289855072463768,categorical,albert,0,warmstart,d4_r4_8h_nolim_hint_hard_true_data
1,W0_0_c_compas-two-years,5848341,benchmark/warmstart/d4_r4_8h_nolim_hint_hard_true_data/categorical/compas-two-years/run0.out,23.63098907470703,230520,"cpu=8,mem=64G,node=1",0.6331822759315207,0.6296495956873316,0.6296495956873316,0.6549295774647887,0.6381156316916489,0.6381156316916489,0.6331822759315207,0.6296495956873316,0.6296495956873316,0.6549295774647887,0.6381156316916489,0.6381156316916489,0.6779959718026183,0.7012072434607646,,9,0.0,0.5879032258064375,1.0,TIME,9,0.6764853977844915,0.52,0.52,0.6851106639839034,0.45,0.44999999999999996,0.6764853977844915,0.52,0.52,0.6851106639839034,0.45,0.44999999999999996,categorical,compas-two-years,0,warmstart,d4_r4_8h_nolim_hint_hard_true_data
2,W0_0_c_covertype,5848342,benchmark/warmstart/d4_r4_8h_nolim_hint_hard_true_data/categorical/covertype/run0.out,62.99430465698242,230832,"cpu=8,mem=128G,node=1",0.7422,0.721419185282523,0.721419185282523,0.7399688444108762,0.5730088495575221,0.5730088495575221,0.7422,0.721419185282523,0.721419185282523,0.7399570430513596,0.7233995779106578,0.7233995779106578,1.0,0.8620539086102719,,12,0.0,0.3830340879516928,1.0,TIME,14,0.7706,0.5405405405405406,0.5405405405405406,0.7622970166163142,0.5532348446255732,0.5532348446255732,0.7706,0.5681818181818182,0.5681818181818182,0.7622970166163142,0.5532348446255732,0.5532348446255732,categorical,covertype,0,warmstart,d4_r4_8h_nolim_hint_hard_true_data
3,W0_0_c_default-of-credit-card-clients,5848343,benchmark/warmstart/d4_r4_8h_nolim_hint_hard_true_data/categorical/default-of-credit-card-clients/run0.out,59.056304931640625,230944,"cpu=8,mem=128G,node=1",0.5613,0.5555745846891591,0.5555745846891591,0.5525423728813559,0.529449423815621,0.529449423815621,0.5613,0.5555745846891591,0.5555745846891591,0.5525423728813559,0.529449423815621,0.529449423815621,0.7316,0.7103578154425612,,12,0.0,0.7998528330807211,1.0,TIME,13,0.7083,0.5132530120481927,0.5132530120481927,0.7080979284369114,0.5202020202020202,0.5202020202020202,0.7083,0.5132530120481927,0.5132530120481927,0.7080979284369114,0.5202020202020202,0.5202020202020202,categorical,default-of-credit-card-clients,0,warmstart,d4_r4_8h_nolim_hint_hard_true_data
4,W0_0_c_electricity,5848344,benchmark/warmstart/d4_r4_8h_nolim_hint_hard_true_data/categorical/electricity/run0.out,52.726261138916016,230744,"cpu=8,mem=64G,node=1",0.6326,0.5999701581617428,0.5999701581617428,0.6393762183235867,0.6063174114021571,0.6063174114021571,0.6326,0.5999701581617428,0.5999701581617428,0.6393762183235867,0.6063174114021571,0.6063174114021571,0.9897,0.8887589343729695,,10,0.0,0.6665962469463613,1.0,TIME,13,0.7441,0.5142767492940069,0.5142767492940069,0.7317738791423002,0.4074074074074074,0.4074074074074074,0.7441,0.5142767492940069,0.5142767492940069,0.7317738791423002,0.4074074074074074,0.4074074074074074,categorical,electricity,0,warmstart,d4_r4_8h_nolim_hint_hard_true_data
5,W0_0_c_eye_movements,5848345,benchmark/warmstart/d4_r4_8h_nolim_hint_hard_true_data/categorical/eye_movements/run0.out,33.02736282348633,230616,"cpu=8,mem=64G,node=1",0.5834702596122248,0.5620253164556962,0.5620253164556962,0.5709592641261498,0.0,0.4479166666666667,0.5834702596122248,0.5620253164556962,0.5620253164556962,0.5709592641261498,0.4479166666666667,0.4479166666666667,0.9089714097929674,0.6419185282522996,,4,0.0,0.7750000000000009,1.0,TIME,8,0.5959579362471246,0.5017221584385764,0.5017221584385764,0.5795006570302234,0.4230769230769231,0.4230769230769231,0.5959579362471246,0.5490314769975787,0.5490314769975787,0.5795006570302234,0.4230769230769231,0.4230769230769231,categorical,eye_movements,0,warmstart,d4_r4_8h_nolim_hint_hard_true_data
6,W0_0_c_road-safety,5848346,benchmark/warmstart/d4_r4_8h_nolim_hint_hard_true_data/categorical/road-safety/run0.out,62.086856842041016,230760,"cpu=8,mem=128G,node=1",0.6257,0.6016597510373444,0.6016597510373444,0.6188878450319868,0.4,0.5909090909090909,0.6257,0.6016597510373444,0.6016597510373444,0.6188878450319868,0.4,0.5909090909090909,0.8215,0.7556032747282244,,8,0.0,0.6500000000000009,1.0,TIME,8,0.7213,0.547683923705722,0.547683923705722,0.7184270567709032,0.0,0.4,0.7213,0.547683923705722,0.547683923705722,0.7184270567709032,0.0,0.4,categorical,road-safety,0,warmstart,d4_r4_8h_nolim_hint_hard_true_data
7,W0_0_n_bank-marketing,5848347,benchmark/warmstart/d4_r4_8h_nolim_hint_hard_true_data/numerical/bank-marketing/run0.out,39.8405876159668,230720,"cpu=8,mem=64G,node=1",0.7193334909004964,0.7005739795918368,0.7005739795918368,0.7235349716446124,0.43478260869565216,0.43478260869565216,0.7193334909004964,0.7012383900928792,0.7012383900928792,0.7235349716446124,0.7176368375325803,0.7176368375325803,0.8246277475774049,0.7982041587901701,,9,0.0,0.427401001365488,1.0,TIME,11,0.7792484046324746,0.5465116279069767,0.5465116279069767,0.7731568998109641,0.4,0.4,0.7792484046324746,0.5465116279069767,0.5465116279069767,0.7731568998109641,0.4,0.4,numerical,bank-marketing,0,warmstart,d4_r4_8h_nolim_hint_hard_true_data
8,W0_0_n_Bioresponse,5848348,benchmark/warmstart/d4_r4_8h_nolim_hint_hard_true_data/numerical/Bioresponse/run0.out,67.64905548095703,230808,"cpu=8,mem=128G,node=1",0.7149617764834365,0.6860158311345647,0.6860158311345647,0.7016011644832606,0.0,0.65,0.7149617764834365,0.6928520877565464,0.6928520877565464,0.7016011644832606,0.65,0.65,0.991991263196214,0.784570596797671,,10,0.0,0.45766265172795884,1.0,TIME,11,0.740444120859119,0.5531914893617021,0.5531914893617021,0.7117903930131004,0.2,0.65,0.740444120859119,0.5882352941176471,0.6460784313725491,0.7117903930131004,0.2,0.65,numerical,Bioresponse,0,warmstart,d4_r4_8h_nolim_hint_hard_true_data
9,W0_0_n_california,5848349,benchmark/warmstart/d4_r4_8h_nolim_hint_hard_true_data/numerical/california/run0.out,50.46935272216797,230760,"cpu=8,mem=64G,node=1",0.7802,0.7204951065054692,0.7204951065054692,0.7758662466682821,0.4,0.7,0.7802,0.7206559263521288,0.7206559263521288,0.7758662466682821,0.4,0.7,0.9423,0.8887811969953961,,3,0.0,0.3879319419870697,1.0,TIME,6,0.7965,0.5778175313059034,0.5778175313059034,0.7940392536951781,0.583941605839416,0.583941605839416,0.7965,0.5966514459665144,0.5966514459665144,0.7940392536951781,0.583941605839416,0.583941605839416,numerical,california,0,warmstart,d4_r4_8h_nolim_hint_hard_true_data
